SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-17 02:39:32.770761,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
1,98:04:ED:C0:E4:41,2020-07-17 02:39:32.770761,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
2,98:04:ED:C0:E4:41,2020-07-17 02:39:33.004770,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
3,DC:A6:32:55:FC:3E,2020-07-17 02:39:33.004770,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-72
4,98:04:ED:C0:E4:41,2020-07-17 02:39:34.081339,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
5,DC:A6:32:55:FC:3E,2020-07-17 02:39:34.081339,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-67
6,98:04:ED:C0:E4:41,2020-07-17 02:39:35.003876,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
7,DC:A6:32:55:FC:3E,2020-07-17 02:39:35.003876,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
8,DC:A6:32:55:FC:3E,2020-07-17 02:39:36.030229,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-69
9,98:04:ED:C0:E4:41,2020-07-17 02:39:36.030229,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
10,98:04:ED:C0:E4:41,2020-07-17 02:39:37.209788,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
11,DC:A6:32:55:FC:3E,2020-07-17 02:39:37.209788,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-66
12,DC:A6:32:55:FC:3E,2020-07-17 02:39:38.052703,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-66
13,98:04:ED:C0:E4:41,2020-07-17 02:39:38.052703,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
14,98:04:ED:C0:E4:41,2020-07-17 02:39:39.083901,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
15,DC:A6:32:55:FC:3E,2020-07-17 02:39:39.083901,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-67
16,98:04:ED:C0:E4:41,2020-07-17 02:39:40.241529,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
17,DC:A6:32:55:FC:3E,2020-07-17 02:39:40.241529,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-72
18,98:04:ED:C0:E4:41,2020-07-17 02:39:41.080200,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
19,DC:A6:32:55:FC:3E,2020-07-17 02:39:41.080200,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-66
20,98:04:ED:C0:E4:41,2020-07-17 02:39:42.018322,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
21,DC:A6:32:55:FC:3E,2020-07-17 02:39:42.018322,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-69
22,98:04:ED:C0:E4:41,2020-07-17 02:39:43.112836,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
23,DC:A6:32:55:FC:3E,2020-07-17 02:39:43.112836,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
24,98:04:ED:C0:E4:41,2020-07-17 02:39:44.031498,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
25,DC:A6:32:55:FC:3E,2020-07-17 02:39:44.031498,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
26,DC:A6:32:55:FC:3E,2020-07-17 02:39:45.076539,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
27,98:04:ED:C0:E4:41,2020-07-17 02:39:45.076539,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
28,98:04:ED:C0:E4:41,2020-07-17 02:39:46.044045,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
29,DC:A6:32:55:FC:3E,2020-07-17 02:39:46.044045,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-72
30,DC:A6:32:55:FC:3E,2020-07-17 02:39:47.344114,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-67
31,98:04:ED:C0:E4:41,2020-07-17 02:39:47.344114,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
32,98:04:ED:C0:E4:41,2020-07-17 02:39:48.056789,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
33,DC:A6:32:55:FC:3E,2020-07-17 02:39:48.056789,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
34,98:04:ED:C0:E4:41,2020-07-17 02:39:49.324384,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
35,DC:A6:32:55:FC:3E,2020-07-17 02:39:49.324384,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-67
36,98:04:ED:C0:E4:41,2020-07-17 02:39:50.139219,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
37,DC:A6:32:55:FC:3E,2020-07-17 02:39:50.139219,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
38,DC:A6:32:55:FC:3E,2020-07-17 02:39:51.310462,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
39,98:04:ED:C0:E4:41,2020-07-17 02:39:51.310462,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
40,98:04:ED:C0:E4:41,2020-07-17 02:39:52.120430,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
41,DC:A6:32:55:FC:3E,2020-07-17 02:39:52.120430,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-66
42,DC:A6:32:55:FC:3E,2020-07-17 02:39:53.031826,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
43,98:04:ED:C0:E4:41,2020-07-17 02:39:53.031826,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
44,98:04:ED:C0:E4:41,2020-07-17 02:39:54.078060,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
45,DC:A6:32:55:FC:3E,2020-07-17 02:39:54.078060,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-67
46,98:04:ED:C0:E4:41,2020-07-17 02:39:55.096840,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
47,DC:A6:32:55:FC:3E,2020-07-17 02:39:55.096840,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-67
48,98:04:ED:C0:E4:41,2020-07-17 02:39:56.013096,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
49,DC:A6:32:55:FC:3E,2020-07-17 02:39:56.013096,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
50,98:04:ED:C0:E4:41,2020-07-17 02:39:57.104988,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
51,DC:A6:32:55:FC:3E,2020-07-17 02:39:57.104988,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-69
52,98:04:ED:C0:E4:41,2020-07-17 02:39:58.020602,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
53,DC:A6:32:55:FC:3E,2020-07-17 02:39:58.020602,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-71
54,98:04:ED:C0:E4:41,2020-07-17 02:39:59.042704,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
55,DC:A6:32:55:FC:3E,2020-07-17 02:39:59.042704,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-72
56,DC:A6:32:55:FC:3E,2020-07-17 02:40:00.041983,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
57,98:04:ED:C0:E4:41,2020-07-17 02:40:00.041983,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
58,98:04:ED:C0:E4:41,2020-07-17 02:40:01.012499,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
59,DC:A6:32:55:FC:3E,2020-07-17 02:40:01.012499,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-69
60,DC:A6:32:55:FC:3E,2020-07-17 02:40:02.203289,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
61,98:04:ED:C0:E4:41,2020-07-17 02:40:02.203289,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
62,98:04:ED:C0:E4:41,2020-07-17 02:40:03.116409,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
63,DC:A6:32:55:FC:3E,2020-07-17 02:40:03.116409,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-66
64,98:04:ED:C0:E4:41,2020-07-17 02:40:04.025102,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
65,DC:A6:32:55:FC:3E,2020-07-17 02:40:04.025102,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
66,98:04:ED:C0:E4:41,2020-07-17 02:40:05.159583,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
67,DC:A6:32:55:FC:3E,2020-07-17 02:40:05.159583,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-66
68,98:04:ED:C0:E4:41,2020-07-17 02:40:06.120965,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
69,DC:A6:32:55:FC:3E,2020-07-17 02:40:06.120965,d3ab1d30-cae0-11ea-b37b-dca63255fc3b,1,1,1,-70
