SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-17 01:31:20.003053,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
1,DC:A6:32:55:FC:3E,2020-07-17 01:31:21.278459,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
2,DC:A6:32:55:FC:3E,2020-07-17 01:31:22.104710,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
3,DC:A6:32:55:FC:3E,2020-07-17 01:31:23.019812,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-45
4,DC:A6:32:55:FC:3E,2020-07-17 01:31:24.039992,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
5,DC:A6:32:55:FC:3E,2020-07-17 01:31:25.134774,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-45
6,DC:A6:32:55:FC:3E,2020-07-17 01:31:26.029768,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
7,DC:A6:32:55:FC:3E,2020-07-17 01:31:27.031676,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
8,DC:A6:32:55:FC:3E,2020-07-17 01:31:28.313522,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-47
9,DC:A6:32:55:FC:3E,2020-07-17 01:31:29.117914,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-45
10,DC:A6:32:55:FC:3E,2020-07-17 01:31:30.219959,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-51
11,DC:A6:32:55:FC:3E,2020-07-17 01:31:31.071085,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-47
12,DC:A6:32:55:FC:3E,2020-07-17 01:31:33.076246,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
13,DC:A6:32:55:FC:3E,2020-07-17 01:31:34.011225,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
14,DC:A6:32:55:FC:3E,2020-07-17 01:31:35.030574,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
15,DC:A6:32:55:FC:3E,2020-07-17 01:31:36.133740,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
16,DC:A6:32:55:FC:3E,2020-07-17 01:31:37.300588,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
17,DC:A6:32:55:FC:3E,2020-07-17 01:31:38.053122,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
18,DC:A6:32:55:FC:3E,2020-07-17 01:31:39.517753,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-50
19,DC:A6:32:55:FC:3E,2020-07-17 01:31:40.050048,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-51
20,DC:A6:32:55:FC:3E,2020-07-17 01:31:41.252022,35a7f152-c8b6-11ea-83f4-dca63255fc3b,1,1,1,-48
