SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,98:04:ED:C0:E4:41,2020-07-17 02:20:43.057393,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
1,DC:A6:32:55:FC:3E,2020-07-17 02:20:43.057393,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-59
2,98:04:ED:C0:E4:41,2020-07-17 02:20:44.454451,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
3,DC:A6:32:55:FC:3E,2020-07-17 02:20:44.454451,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
4,98:04:ED:C0:E4:41,2020-07-17 02:20:45.214983,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
5,DC:A6:32:55:FC:3E,2020-07-17 02:20:45.214983,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
6,98:04:ED:C0:E4:41,2020-07-17 02:20:46.138074,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
7,DC:A6:32:55:FC:3E,2020-07-17 02:20:46.138074,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
8,98:04:ED:C0:E4:41,2020-07-17 02:20:47.147955,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
9,DC:A6:32:55:FC:3E,2020-07-17 02:20:47.147955,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
10,98:04:ED:C0:E4:41,2020-07-17 02:20:48.065095,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
11,DC:A6:32:55:FC:3E,2020-07-17 02:20:48.065095,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
12,98:04:ED:C0:E4:41,2020-07-17 02:20:49.457019,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
13,DC:A6:32:55:FC:3E,2020-07-17 02:20:49.457019,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
14,98:04:ED:C0:E4:41,2020-07-17 02:20:50.011271,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
15,DC:A6:32:55:FC:3E,2020-07-17 02:20:50.011271,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-55
16,DC:A6:32:55:FC:3E,2020-07-17 02:20:51.017032,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
17,98:04:ED:C0:E4:41,2020-07-17 02:20:51.017032,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
18,98:04:ED:C0:E4:41,2020-07-17 02:20:52.021965,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
19,DC:A6:32:55:FC:3E,2020-07-17 02:20:52.021965,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
20,98:04:ED:C0:E4:41,2020-07-17 02:20:53.099620,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
21,DC:A6:32:55:FC:3E,2020-07-17 02:20:53.099620,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
22,98:04:ED:C0:E4:41,2020-07-17 02:20:54.334600,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
23,DC:A6:32:55:FC:3E,2020-07-17 02:20:54.334600,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
24,98:04:ED:C0:E4:41,2020-07-17 02:20:55.015138,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
25,DC:A6:32:55:FC:3E,2020-07-17 02:20:55.015138,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
26,98:04:ED:C0:E4:41,2020-07-17 02:20:56.029588,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
27,DC:A6:32:55:FC:3E,2020-07-17 02:20:56.029588,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
28,98:04:ED:C0:E4:41,2020-07-17 02:20:58.034828,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
29,DC:A6:32:55:FC:3E,2020-07-17 02:20:58.034828,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
30,98:04:ED:C0:E4:41,2020-07-17 02:20:59.098535,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
31,DC:A6:32:55:FC:3E,2020-07-17 02:20:59.098535,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
32,98:04:ED:C0:E4:41,2020-07-17 02:21:00.194749,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
33,DC:A6:32:55:FC:3E,2020-07-17 02:21:00.194749,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-55
34,98:04:ED:C0:E4:41,2020-07-17 02:21:01.077192,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
35,DC:A6:32:55:FC:3E,2020-07-17 02:21:01.077192,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
36,DC:A6:32:55:FC:3E,2020-07-17 02:21:02.078664,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
37,98:04:ED:C0:E4:41,2020-07-17 02:21:02.078664,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-87
38,98:04:ED:C0:E4:41,2020-07-17 02:21:03.018569,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
39,DC:A6:32:55:FC:3E,2020-07-17 02:21:03.018569,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
40,DC:A6:32:55:FC:3E,2020-07-17 02:21:04.287521,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
41,98:04:ED:C0:E4:41,2020-07-17 02:21:04.287521,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
42,98:04:ED:C0:E4:41,2020-07-17 02:21:05.036734,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-87
43,DC:A6:32:55:FC:3E,2020-07-17 02:21:05.036734,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
44,98:04:ED:C0:E4:41,2020-07-17 02:21:06.051166,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
45,DC:A6:32:55:FC:3E,2020-07-17 02:21:06.051166,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
46,98:04:ED:C0:E4:41,2020-07-17 02:21:07.044838,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
47,DC:A6:32:55:FC:3E,2020-07-17 02:21:07.044838,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
48,98:04:ED:C0:E4:41,2020-07-17 02:21:08.004929,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
49,DC:A6:32:55:FC:3E,2020-07-17 02:21:08.004929,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
50,98:04:ED:C0:E4:41,2020-07-17 02:21:09.321889,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
51,DC:A6:32:55:FC:3E,2020-07-17 02:21:09.321889,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
52,98:04:ED:C0:E4:41,2020-07-17 02:21:10.139948,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
53,DC:A6:32:55:FC:3E,2020-07-17 02:21:10.139948,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
54,98:04:ED:C0:E4:41,2020-07-17 02:21:11.041204,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
55,DC:A6:32:55:FC:3E,2020-07-17 02:21:11.041204,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
56,98:04:ED:C0:E4:41,2020-07-17 02:21:12.017477,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
57,DC:A6:32:55:FC:3E,2020-07-17 02:21:12.017477,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
58,98:04:ED:C0:E4:41,2020-07-17 02:21:13.030199,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
59,DC:A6:32:55:FC:3E,2020-07-17 02:21:13.030199,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
60,98:04:ED:C0:E4:41,2020-07-17 02:21:14.040028,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
61,DC:A6:32:55:FC:3E,2020-07-17 02:21:14.040028,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
62,98:04:ED:C0:E4:41,2020-07-17 02:21:15.401421,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
63,DC:A6:32:55:FC:3E,2020-07-17 02:21:15.401421,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
64,98:04:ED:C0:E4:41,2020-07-17 02:21:16.033971,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
65,DC:A6:32:55:FC:3E,2020-07-17 02:21:16.033971,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-59
66,98:04:ED:C0:E4:41,2020-07-17 02:21:17.015711,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
67,DC:A6:32:55:FC:3E,2020-07-17 02:21:17.015711,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
68,98:04:ED:C0:E4:41,2020-07-17 02:21:18.408964,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
69,DC:A6:32:55:FC:3E,2020-07-17 02:21:18.408964,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
70,98:04:ED:C0:E4:41,2020-07-17 02:21:19.270179,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-105
71,DC:A6:32:55:FC:3E,2020-07-17 02:21:19.270179,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
72,98:04:ED:C0:E4:41,2020-07-17 02:21:20.005774,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
73,DC:A6:32:55:FC:3E,2020-07-17 02:21:20.005774,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
74,98:04:ED:C0:E4:41,2020-07-17 02:21:21.043649,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
75,DC:A6:32:55:FC:3E,2020-07-17 02:21:21.043649,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
76,98:04:ED:C0:E4:41,2020-07-17 02:21:22.295241,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
77,DC:A6:32:55:FC:3E,2020-07-17 02:21:22.295241,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
78,98:04:ED:C0:E4:41,2020-07-17 02:21:23.361666,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
79,DC:A6:32:55:FC:3E,2020-07-17 02:21:23.361666,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
80,98:04:ED:C0:E4:41,2020-07-17 02:21:24.185237,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
81,DC:A6:32:55:FC:3E,2020-07-17 02:21:24.185237,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-59
82,98:04:ED:C0:E4:41,2020-07-17 02:21:25.067803,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
83,DC:A6:32:55:FC:3E,2020-07-17 02:21:25.067803,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
84,98:04:ED:C0:E4:41,2020-07-17 02:21:26.117888,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
85,DC:A6:32:55:FC:3E,2020-07-17 02:21:26.117888,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-56
86,98:04:ED:C0:E4:41,2020-07-17 02:21:27.025334,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
87,DC:A6:32:55:FC:3E,2020-07-17 02:21:27.025334,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-59
88,98:04:ED:C0:E4:41,2020-07-17 02:21:29.030428,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
89,DC:A6:32:55:FC:3E,2020-07-17 02:21:29.030428,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-59
90,98:04:ED:C0:E4:41,2020-07-17 02:21:30.082857,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
91,DC:A6:32:55:FC:3E,2020-07-17 02:21:30.082857,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-59
92,98:04:ED:C0:E4:41,2020-07-17 02:21:31.160225,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
93,DC:A6:32:55:FC:3E,2020-07-17 02:21:31.160225,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
94,98:04:ED:C0:E4:41,2020-07-17 02:21:32.080523,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
95,DC:A6:32:55:FC:3E,2020-07-17 02:21:32.080523,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
96,98:04:ED:C0:E4:41,2020-07-17 02:21:33.055640,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
97,DC:A6:32:55:FC:3E,2020-07-17 02:21:33.055640,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-57
98,98:04:ED:C0:E4:41,2020-07-17 02:21:34.218017,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
99,DC:A6:32:55:FC:3E,2020-07-17 02:21:34.218017,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
100,98:04:ED:C0:E4:41,2020-07-17 02:21:35.073053,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
101,DC:A6:32:55:FC:3E,2020-07-17 02:21:35.073053,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-58
102,98:04:ED:C0:E4:41,2020-07-17 02:21:36.070547,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
103,DC:A6:32:55:FC:3E,2020-07-17 02:21:36.070547,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
104,98:04:ED:C0:E4:41,2020-07-17 02:21:38.075672,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
105,DC:A6:32:55:FC:3E,2020-07-17 02:21:38.075672,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-62
106,98:04:ED:C0:E4:41,2020-07-17 02:21:39.113103,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
107,DC:A6:32:55:FC:3E,2020-07-17 02:21:39.113103,323f1066-cae3-11ea-a762-dca63255fc3b,1,1,1,-61
