 aSCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
43,DC:A6:32:55:FC:3E,2020-07-16 22:23:34.130298,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
44,DC:A6:32:55:FC:3E,2020-07-16 22:23:35.136513,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
45,DC:A6:32:55:FC:3E,2020-07-16 22:23:36.221561,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
46,DC:A6:32:55:FC:3E,2020-07-16 22:23:37.002850,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
47,DC:A6:32:55:FC:3E,2020-07-16 22:23:38.052376,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
48,DC:A6:32:55:FC:3E,2020-07-16 22:23:40.056754,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
49,DC:A6:32:55:FC:3E,2020-07-16 22:23:41.354233,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
50,DC:A6:32:55:FC:3E,2020-07-16 22:23:42.760465,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
51,DC:A6:32:55:FC:3E,2020-07-16 22:23:43.031710,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-47
52,DC:A6:32:55:FC:3E,2020-07-16 22:23:44.131770,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
53,DC:A6:32:55:FC:3E,2020-07-16 22:23:45.179351,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
54,DC:A6:32:55:FC:3E,2020-07-16 22:23:46.072514,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
55,DC:A6:32:55:FC:3E,2020-07-16 22:23:47.028114,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
56,DC:A6:32:55:FC:3E,2020-07-16 22:23:48.329483,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
57,DC:A6:32:55:FC:3E,2020-07-16 22:23:49.099367,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
58,DC:A6:32:55:FC:3E,2020-07-16 22:23:50.739460,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-46
59,DC:A6:32:55:FC:3E,2020-07-16 22:23:51.086311,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-49
60,DC:A6:32:55:FC:3E,2020-07-16 22:23:52.078257,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
61,DC:A6:32:55:FC:3E,2020-07-16 22:23:53.209465,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
62,DC:A6:32:55:FC:3E,2020-07-16 22:23:54.030716,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
63,DC:A6:32:55:FC:3E,2020-07-16 22:23:55.019529,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
64,DC:A6:32:55:FC:3E,2020-07-16 22:23:56.050784,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
65,DC:A6:32:55:FC:3E,2020-07-16 22:23:57.132016,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
66,DC:A6:32:55:FC:3E,2020-07-16 22:23:58.020986,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
67,DC:A6:32:55:FC:3E,2020-07-16 22:23:59.277216,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
68,DC:A6:32:55:FC:3E,2020-07-16 22:24:00.859651,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
69,DC:A6:32:55:FC:3E,2020-07-16 22:24:01.013944,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
70,DC:A6:32:55:FC:3E,2020-07-16 22:24:02.007199,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
71,DC:A6:32:55:FC:3E,2020-07-16 22:24:03.159682,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
72,DC:A6:32:55:FC:3E,2020-07-16 22:24:04.022906,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-47
73,DC:A6:32:55:FC:3E,2020-07-16 22:24:05.016655,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
74,DC:A6:32:55:FC:3E,2020-07-16 22:24:06.209784,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
75,DC:A6:32:55:FC:3E,2020-07-16 22:24:07.489856,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
76,DC:A6:32:55:FC:3E,2020-07-16 22:24:08.161091,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-47
77,DC:A6:32:55:FC:3E,2020-07-16 22:24:09.575056,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
78,DC:A6:32:55:FC:3E,2020-07-16 22:24:10.052459,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
79,DC:A6:32:55:FC:3E,2020-07-16 22:24:11.219945,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
80,DC:A6:32:55:FC:3E,2020-07-16 22:24:12.196193,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-47
81,DC:A6:32:55:FC:3E,2020-07-16 22:24:13.131251,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
82,DC:A6:32:55:FC:3E,2020-07-16 22:24:14.047561,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
83,DC:A6:32:55:FC:3E,2020-07-16 22:24:15.002468,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
84,DC:A6:32:55:FC:3E,2020-07-16 22:24:16.588884,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
85,DC:A6:32:55:FC:3E,2020-07-16 22:24:17.064383,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
86,DC:A6:32:55:FC:3E,2020-07-16 22:24:18.203174,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
87,DC:A6:32:55:FC:3E,2020-07-16 22:24:19.067807,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
88,DC:A6:32:55:FC:3E,2020-07-16 22:24:20.058911,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
89,DC:A6:32:55:FC:3E,2020-07-16 22:24:21.130146,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
90,DC:A6:32:55:FC:3E,2020-07-16 22:24:22.152044,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
91,DC:A6:32:55:FC:3E,2020-07-16 22:24:23.031487,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
92,DC:A6:32:55:FC:3E,2020-07-16 22:24:24.290202,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
93,DC:A6:32:55:FC:3E,2020-07-16 22:24:25.172786,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
