SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-17 07:25:39.623139,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-56
1,DC:A6:32:55:FC:3E,2020-07-17 07:25:40.002572,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-55
2,98:04:ED:C0:E4:41,2020-07-17 07:25:40.002572,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
3,98:04:ED:C0:E4:41,2020-07-17 07:25:41.587366,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
4,DC:A6:32:55:FC:3E,2020-07-17 07:25:41.587366,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-70
5,DC:A6:32:55:FC:3E,2020-07-17 07:25:42.130345,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-56
6,98:04:ED:C0:E4:41,2020-07-17 07:25:42.130345,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
7,98:04:ED:C0:E4:41,2020-07-17 07:25:43.494797,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
8,DC:A6:32:55:FC:3E,2020-07-17 07:25:43.494797,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
9,DC:A6:32:55:FC:3E,2020-07-17 07:25:44.030597,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-55
10,98:04:ED:C0:E4:41,2020-07-17 07:25:44.030597,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
11,DC:A6:32:55:FC:3E,2020-07-17 07:25:45.581789,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-70
12,98:04:ED:C0:E4:41,2020-07-17 07:25:46.041730,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
13,DC:A6:32:55:FC:3E,2020-07-17 07:25:46.041730,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
14,DC:A6:32:55:FC:3E,2020-07-17 07:25:47.404283,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
15,98:04:ED:C0:E4:41,2020-07-17 07:25:47.404283,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
16,DC:A6:32:55:FC:3E,2020-07-17 07:25:48.085566,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-56
17,98:04:ED:C0:E4:41,2020-07-17 07:25:48.085566,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
18,DC:A6:32:55:FC:3E,2020-07-17 07:25:49.221861,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-71
19,98:04:ED:C0:E4:41,2020-07-17 07:25:49.221861,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
20,98:04:ED:C0:E4:41,2020-07-17 07:25:50.015555,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
21,DC:A6:32:55:FC:3E,2020-07-17 07:25:50.015555,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-70
22,98:04:ED:C0:E4:41,2020-07-17 07:25:51.131883,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
23,DC:A6:32:55:FC:3E,2020-07-17 07:25:51.131883,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
24,DC:A6:32:55:FC:3E,2020-07-17 07:25:52.164384,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
25,98:04:ED:C0:E4:41,2020-07-17 07:25:52.164384,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
26,98:04:ED:C0:E4:41,2020-07-17 07:25:53.425647,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
27,DC:A6:32:55:FC:3E,2020-07-17 07:25:53.425647,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
28,98:04:ED:C0:E4:41,2020-07-17 07:25:54.006935,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
29,DC:A6:32:55:FC:3E,2020-07-17 07:25:54.006935,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
30,98:04:ED:C0:E4:41,2020-07-17 07:25:55.655748,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
31,DC:A6:32:55:FC:3E,2020-07-17 07:25:55.655748,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-71
32,98:04:ED:C0:E4:41,2020-07-17 07:25:56.024446,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
33,DC:A6:32:55:FC:3E,2020-07-17 07:25:56.024446,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
34,98:04:ED:C0:E4:41,2020-07-17 07:25:57.074459,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
35,DC:A6:32:55:FC:3E,2020-07-17 07:25:57.074459,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
36,98:04:ED:C0:E4:41,2020-07-17 07:25:58.073260,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
37,DC:A6:32:55:FC:3E,2020-07-17 07:25:58.073260,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-71
38,98:04:ED:C0:E4:41,2020-07-17 07:25:59.724542,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
39,DC:A6:32:55:FC:3E,2020-07-17 07:25:59.724542,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-57
40,DC:A6:32:55:FC:3E,2020-07-17 07:26:00.063311,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-72
41,98:04:ED:C0:E4:41,2020-07-17 07:26:00.063311,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
42,DC:A6:32:55:FC:3E,2020-07-17 07:26:01.165835,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-71
43,98:04:ED:C0:E4:41,2020-07-17 07:26:01.165835,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
44,98:04:ED:C0:E4:41,2020-07-17 07:26:03.170907,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
45,DC:A6:32:55:FC:3E,2020-07-17 07:26:03.170907,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
46,DC:A6:32:55:FC:3E,2020-07-17 07:26:04.393409,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-71
47,98:04:ED:C0:E4:41,2020-07-17 07:26:04.393409,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
48,98:04:ED:C0:E4:41,2020-07-17 07:26:05.170911,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
49,DC:A6:32:55:FC:3E,2020-07-17 07:26:05.170911,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
50,DC:A6:32:55:FC:3E,2020-07-17 07:26:06.062249,5545f83c-cbe1-11ea-9e09-dca63255fc3b,1,1,1,-58
51,98:04:ED:C0:E4:41,2020-07-17 07:26:06.062249,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
