SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AB:0D,2020-07-23 14:54:27.476265,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
1,98:04:ED:C0:E4:41,2020-07-23 14:54:27.476265,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
2,98:04:ED:C0:E4:41,2020-07-23 14:54:28.018936,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
3,DC:A6:32:33:AB:0D,2020-07-23 14:54:28.018936,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
4,DC:A6:32:33:AB:0D,2020-07-23 14:54:29.357957,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
5,98:04:ED:C0:E4:41,2020-07-23 14:54:29.357957,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
6,98:04:ED:C0:E4:41,2020-07-23 14:54:30.334251,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
7,DC:A6:32:33:AB:0D,2020-07-23 14:54:30.334251,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-56
8,DC:A6:32:33:AB:0D,2020-07-23 14:54:31.064253,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
9,98:04:ED:C0:E4:41,2020-07-23 14:54:31.064253,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
10,98:04:ED:C0:E4:41,2020-07-23 14:54:32.102342,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
11,DC:A6:32:33:AB:0D,2020-07-23 14:54:32.102342,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-55
12,DC:A6:32:33:AB:0D,2020-07-23 14:54:33.254261,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-56
13,98:04:ED:C0:E4:41,2020-07-23 14:54:33.254261,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
14,98:04:ED:C0:E4:41,2020-07-23 14:54:34.196185,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
15,DC:A6:32:33:AB:0D,2020-07-23 14:54:34.196185,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-59
16,98:04:ED:C0:E4:41,2020-07-23 14:54:35.105488,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
17,DC:A6:32:33:AB:0D,2020-07-23 14:54:35.105488,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-55
18,98:04:ED:C0:E4:41,2020-07-23 14:54:36.326813,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
19,DC:A6:32:33:AB:0D,2020-07-23 14:54:36.326813,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-56
20,98:04:ED:C0:E4:41,2020-07-23 14:54:37.030543,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
21,DC:A6:32:33:AB:0D,2020-07-23 14:54:37.030543,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-57
22,DC:A6:32:33:AB:0D,2020-07-23 14:54:38.188070,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-57
23,98:04:ED:C0:E4:41,2020-07-23 14:54:38.188070,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
24,98:04:ED:C0:E4:41,2020-07-23 14:54:39.081129,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
25,DC:A6:32:33:AB:0D,2020-07-23 14:54:39.081129,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
26,98:04:ED:C0:E4:41,2020-07-23 14:54:40.365613,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
27,DC:A6:32:33:AB:0D,2020-07-23 14:54:40.365613,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
28,DC:A6:32:33:AB:0D,2020-07-23 14:54:41.470566,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-54
29,98:04:ED:C0:E4:41,2020-07-23 14:54:41.470566,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
30,98:04:ED:C0:E4:41,2020-07-23 14:54:42.006784,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
31,DC:A6:32:33:AB:0D,2020-07-23 14:54:42.006784,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
32,DC:A6:32:33:AB:0D,2020-07-23 14:54:43.105586,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-56
33,98:04:ED:C0:E4:41,2020-07-23 14:54:43.105586,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
34,98:04:ED:C0:E4:41,2020-07-23 14:54:44.075548,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
35,DC:A6:32:33:AB:0D,2020-07-23 14:54:44.075548,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
36,98:04:ED:C0:E4:41,2020-07-23 14:54:45.228043,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
37,DC:A6:32:33:AB:0D,2020-07-23 14:54:45.228043,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
38,DC:A6:32:33:AB:0D,2020-07-23 14:54:46.140612,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
39,98:04:ED:C0:E4:41,2020-07-23 14:54:46.140612,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
40,DC:A6:32:33:AB:0D,2020-07-23 14:54:47.123127,eac3b1aa-c827-11ea-ad5a-dca63233ab0c,1,1,1,-58
41,98:04:ED:C0:E4:41,2020-07-23 14:54:47.123127,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
42,98:04:ED:C0:E4:41,2020-07-23 14:54:48.255610,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
