SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,98:04:ED:C0:E4:41,2020-07-17 02:16:43.110590,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
1,DC:A6:32:55:FC:3E,2020-07-17 02:16:43.110590,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
2,98:04:ED:C0:E4:41,2020-07-17 02:16:44.020647,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
3,DC:A6:32:55:FC:3E,2020-07-17 02:16:44.020647,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
4,DC:A6:32:55:FC:3E,2020-07-17 02:16:45.038088,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
5,98:04:ED:C0:E4:41,2020-07-17 02:16:45.038088,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
6,98:04:ED:C0:E4:41,2020-07-17 02:16:47.041929,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
7,DC:A6:32:55:FC:3E,2020-07-17 02:16:47.041929,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
8,DC:A6:32:55:FC:3E,2020-07-17 02:16:48.086993,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
9,98:04:ED:C0:E4:41,2020-07-17 02:16:48.086993,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
10,98:04:ED:C0:E4:41,2020-07-17 02:16:49.001902,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
11,DC:A6:32:55:FC:3E,2020-07-17 02:16:49.001902,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
12,98:04:ED:C0:E4:41,2020-07-17 02:16:50.211917,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
13,DC:A6:32:55:FC:3E,2020-07-17 02:16:50.211917,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
14,98:04:ED:C0:E4:41,2020-07-17 02:16:51.160720,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
15,DC:A6:32:55:FC:3E,2020-07-17 02:16:51.160720,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-52
16,DC:A6:32:55:FC:3E,2020-07-17 02:16:52.055943,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
17,98:04:ED:C0:E4:41,2020-07-17 02:16:52.055943,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
18,DC:A6:32:55:FC:3E,2020-07-17 02:16:53.297136,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
19,98:04:ED:C0:E4:41,2020-07-17 02:16:53.297136,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
20,98:04:ED:C0:E4:41,2020-07-17 02:16:54.029601,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
21,DC:A6:32:55:FC:3E,2020-07-17 02:16:54.029601,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-68
22,98:04:ED:C0:E4:41,2020-07-17 02:16:55.007125,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
23,DC:A6:32:55:FC:3E,2020-07-17 02:16:55.007125,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
24,98:04:ED:C0:E4:41,2020-07-17 02:16:56.292094,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
25,DC:A6:32:55:FC:3E,2020-07-17 02:16:56.292094,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
26,DC:A6:32:55:FC:3E,2020-07-17 02:16:57.032153,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
27,98:04:ED:C0:E4:41,2020-07-17 02:16:57.032153,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
28,98:04:ED:C0:E4:41,2020-07-17 02:16:58.228369,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
29,DC:A6:32:55:FC:3E,2020-07-17 02:16:58.228369,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
30,98:04:ED:C0:E4:41,2020-07-17 02:16:59.005940,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
31,DC:A6:32:55:FC:3E,2020-07-17 02:16:59.005940,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
32,98:04:ED:C0:E4:41,2020-07-17 02:17:00.017190,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
33,DC:A6:32:55:FC:3E,2020-07-17 02:17:00.017190,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
34,98:04:ED:C0:E4:41,2020-07-17 02:17:01.218493,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
35,DC:A6:32:55:FC:3E,2020-07-17 02:17:01.218493,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-70
36,98:04:ED:C0:E4:41,2020-07-17 02:17:02.087424,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
37,DC:A6:32:55:FC:3E,2020-07-17 02:17:02.087424,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
38,98:04:ED:C0:E4:41,2020-07-17 02:17:03.041062,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
39,DC:A6:32:55:FC:3E,2020-07-17 02:17:03.041062,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
40,DC:A6:32:55:FC:3E,2020-07-17 02:17:04.041022,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
41,98:04:ED:C0:E4:41,2020-07-17 02:17:04.041022,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
42,98:04:ED:C0:E4:41,2020-07-17 02:17:05.567367,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
43,DC:A6:32:55:FC:3E,2020-07-17 02:17:05.567367,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
44,98:04:ED:C0:E4:41,2020-07-17 02:17:06.064918,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
45,DC:A6:32:55:FC:3E,2020-07-17 02:17:06.064918,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
46,98:04:ED:C0:E4:41,2020-07-17 02:17:07.102343,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
47,DC:A6:32:55:FC:3E,2020-07-17 02:17:07.102343,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
48,98:04:ED:C0:E4:41,2020-07-17 02:17:08.172339,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
49,DC:A6:32:55:FC:3E,2020-07-17 02:17:08.172339,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
50,98:04:ED:C0:E4:41,2020-07-17 02:17:09.056140,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
51,DC:A6:32:55:FC:3E,2020-07-17 02:17:09.056140,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
52,98:04:ED:C0:E4:41,2020-07-17 02:17:10.024235,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
53,DC:A6:32:55:FC:3E,2020-07-17 02:17:10.024235,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
54,98:04:ED:C0:E4:41,2020-07-17 02:17:11.191257,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
55,DC:A6:32:55:FC:3E,2020-07-17 02:17:11.191257,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
56,98:04:ED:C0:E4:41,2020-07-17 02:17:12.018783,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
57,DC:A6:32:55:FC:3E,2020-07-17 02:17:12.018783,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
58,98:04:ED:C0:E4:41,2020-07-17 02:17:13.212651,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
59,DC:A6:32:55:FC:3E,2020-07-17 02:17:13.212651,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
60,98:04:ED:C0:E4:41,2020-07-17 02:17:14.072492,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
61,DC:A6:32:55:FC:3E,2020-07-17 02:17:14.072492,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
62,98:04:ED:C0:E4:41,2020-07-17 02:17:15.202594,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
63,DC:A6:32:55:FC:3E,2020-07-17 02:17:15.202594,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
64,DC:A6:32:55:FC:3E,2020-07-17 02:17:16.306423,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
65,98:04:ED:C0:E4:41,2020-07-17 02:17:16.306423,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
66,DC:A6:32:55:FC:3E,2020-07-17 02:17:17.181389,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
67,98:04:ED:C0:E4:41,2020-07-17 02:17:17.181389,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
68,98:04:ED:C0:E4:41,2020-07-17 02:17:18.113251,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
69,DC:A6:32:55:FC:3E,2020-07-17 02:17:18.113251,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
70,DC:A6:32:55:FC:3E,2020-07-17 02:17:19.054566,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
71,98:04:ED:C0:E4:41,2020-07-17 02:17:19.054566,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
72,98:04:ED:C0:E4:41,2020-07-17 02:17:20.086389,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
73,DC:A6:32:55:FC:3E,2020-07-17 02:17:20.086389,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
74,DC:A6:32:55:FC:3E,2020-07-17 02:17:21.347744,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
75,98:04:ED:C0:E4:41,2020-07-17 02:17:21.347744,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
76,98:04:ED:C0:E4:41,2020-07-17 02:17:22.004001,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
77,DC:A6:32:55:FC:3E,2020-07-17 02:17:22.004001,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-71
78,98:04:ED:C0:E4:41,2020-07-17 02:17:23.139152,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
79,DC:A6:32:55:FC:3E,2020-07-17 02:17:23.139152,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
80,98:04:ED:C0:E4:41,2020-07-17 02:17:24.227810,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
81,DC:A6:32:55:FC:3E,2020-07-17 02:17:24.227810,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-70
82,98:04:ED:C0:E4:41,2020-07-17 02:17:25.129061,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
83,DC:A6:32:55:FC:3E,2020-07-17 02:17:25.129061,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
84,DC:A6:32:55:FC:3E,2020-07-17 02:17:26.100282,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-70
85,98:04:ED:C0:E4:41,2020-07-17 02:17:26.100282,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
86,98:04:ED:C0:E4:41,2020-07-17 02:17:27.205964,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
87,DC:A6:32:55:FC:3E,2020-07-17 02:17:27.205964,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
88,98:04:ED:C0:E4:41,2020-07-17 02:17:28.019791,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
89,DC:A6:32:55:FC:3E,2020-07-17 02:17:28.019791,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
90,DC:A6:32:55:FC:3E,2020-07-17 02:17:29.051598,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-70
91,98:04:ED:C0:E4:41,2020-07-17 02:17:29.051598,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
92,98:04:ED:C0:E4:41,2020-07-17 02:17:30.017901,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
93,DC:A6:32:55:FC:3E,2020-07-17 02:17:30.017901,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-68
94,DC:A6:32:55:FC:3E,2020-07-17 02:17:31.439213,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-72
95,98:04:ED:C0:E4:41,2020-07-17 02:17:31.439213,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
96,98:04:ED:C0:E4:41,2020-07-17 02:17:32.092931,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
97,DC:A6:32:55:FC:3E,2020-07-17 02:17:32.092931,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-70
98,98:04:ED:C0:E4:41,2020-07-17 02:17:33.723782,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
99,DC:A6:32:55:FC:3E,2020-07-17 02:17:33.723782,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-74
100,DC:A6:32:55:FC:3E,2020-07-17 02:17:34.093047,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-68
101,98:04:ED:C0:E4:41,2020-07-17 02:17:34.093047,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
102,DC:A6:32:55:FC:3E,2020-07-17 02:17:35.091766,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-74
103,98:04:ED:C0:E4:41,2020-07-17 02:17:35.091766,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
104,98:04:ED:C0:E4:41,2020-07-17 02:17:36.063660,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
105,DC:A6:32:55:FC:3E,2020-07-17 02:17:36.063660,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
106,98:04:ED:C0:E4:41,2020-07-17 02:17:37.041902,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
107,DC:A6:32:55:FC:3E,2020-07-17 02:17:37.041902,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
108,98:04:ED:C0:E4:41,2020-07-17 02:17:38.093669,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
109,DC:A6:32:55:FC:3E,2020-07-17 02:17:38.093669,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
110,98:04:ED:C0:E4:41,2020-07-17 02:17:39.109343,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
111,DC:A6:32:55:FC:3E,2020-07-17 02:17:39.109343,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
112,98:04:ED:C0:E4:41,2020-07-17 02:17:40.028174,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
113,DC:A6:32:55:FC:3E,2020-07-17 02:17:40.028174,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
114,DC:A6:32:55:FC:3E,2020-07-17 02:17:41.078140,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
115,98:04:ED:C0:E4:41,2020-07-17 02:17:41.078140,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
116,98:04:ED:C0:E4:41,2020-07-17 02:17:42.023233,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
117,DC:A6:32:55:FC:3E,2020-07-17 02:17:42.023233,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-65
118,98:04:ED:C0:E4:41,2020-07-17 02:17:43.258389,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
119,DC:A6:32:55:FC:3E,2020-07-17 02:17:43.258389,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-71
120,DC:A6:32:55:FC:3E,2020-07-17 02:17:44.052140,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
121,98:04:ED:C0:E4:41,2020-07-17 02:17:44.052140,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
122,98:04:ED:C0:E4:41,2020-07-17 02:17:45.075123,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
123,DC:A6:32:55:FC:3E,2020-07-17 02:17:45.075123,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
124,98:04:ED:C0:E4:41,2020-07-17 02:17:46.060830,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
125,DC:A6:32:55:FC:3E,2020-07-17 02:17:46.060830,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-71
126,98:04:ED:C0:E4:41,2020-07-17 02:17:47.120895,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
127,DC:A6:32:55:FC:3E,2020-07-17 02:17:47.120895,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
128,98:04:ED:C0:E4:41,2020-07-17 02:17:48.130861,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
129,DC:A6:32:55:FC:3E,2020-07-17 02:17:48.130861,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-71
130,98:04:ED:C0:E4:41,2020-07-17 02:17:49.149600,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
131,DC:A6:32:55:FC:3E,2020-07-17 02:17:49.149600,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-66
132,98:04:ED:C0:E4:41,2020-07-17 02:17:50.029661,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
133,DC:A6:32:55:FC:3E,2020-07-17 02:17:50.029661,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-69
134,98:04:ED:C0:E4:41,2020-07-17 02:17:51.089723,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
135,DC:A6:32:55:FC:3E,2020-07-17 02:17:51.089723,b11e8d5e-cadd-11ea-8916-dca63255fc3b,1,1,1,-67
