SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,98:04:ED:C0:E4:41,2020-07-17 04:52:05.600198,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
1,DC:A6:32:55:FC:3E,2020-07-17 04:52:05.600198,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-69
2,98:04:ED:C0:E4:41,2020-07-17 04:52:06.001911,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-82
3,DC:A6:32:55:FC:3E,2020-07-17 04:52:06.001911,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-72
4,98:04:ED:C0:E4:41,2020-07-17 04:52:07.165969,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-83
5,DC:A6:32:55:FC:3E,2020-07-17 04:52:07.165969,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-69
6,98:04:ED:C0:E4:41,2020-07-17 04:52:08.027149,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-87
7,DC:A6:32:55:FC:3E,2020-07-17 04:52:08.027149,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-68
8,98:04:ED:C0:E4:41,2020-07-17 04:52:09.156552,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-86
9,DC:A6:32:55:FC:3E,2020-07-17 04:52:09.156552,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-68
10,98:04:ED:C0:E4:41,2020-07-17 04:52:10.190952,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
11,DC:A6:32:55:FC:3E,2020-07-17 04:52:10.190952,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-76
12,98:04:ED:C0:E4:41,2020-07-17 04:52:11.115405,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
13,DC:A6:32:55:FC:3E,2020-07-17 04:52:11.115405,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-71
14,98:04:ED:C0:E4:41,2020-07-17 04:52:12.277850,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
15,DC:A6:32:55:FC:3E,2020-07-17 04:52:12.277850,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-70
16,DC:A6:32:55:FC:3E,2020-07-17 04:52:13.204802,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-71
17,98:04:ED:C0:E4:41,2020-07-17 04:52:13.204802,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
18,98:04:ED:C0:E4:41,2020-07-17 04:52:14.037285,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
19,DC:A6:32:55:FC:3E,2020-07-17 04:52:14.037285,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-67
20,98:04:ED:C0:E4:41,2020-07-17 04:52:15.017322,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
21,DC:A6:32:55:FC:3E,2020-07-17 04:52:15.017322,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-77
22,DC:A6:32:55:FC:3E,2020-07-17 04:52:16.116170,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-67
23,98:04:ED:C0:E4:41,2020-07-17 04:52:16.116170,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-84
24,98:04:ED:C0:E4:41,2020-07-17 04:52:17.059268,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
25,DC:A6:32:55:FC:3E,2020-07-17 04:52:17.059268,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-78
26,98:04:ED:C0:E4:41,2020-07-17 04:52:19.063764,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-85
27,DC:A6:32:55:FC:3E,2020-07-17 04:52:19.063764,d791ac82-cb00-11ea-8ffc-dca63255fc3b,1,1,1,-76
