SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
40,DC:A6:32:55:FC:3E,2020-07-17 07:29:04.295394,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
41,98:04:ED:C0:E4:41,2020-07-17 07:29:05.182894,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
42,DC:A6:32:55:FC:3E,2020-07-17 07:29:05.182894,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
43,DC:A6:32:55:FC:3E,2020-07-17 07:29:07.187445,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
44,98:04:ED:C0:E4:41,2020-07-17 07:29:07.187445,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
45,DC:A6:32:55:FC:3E,2020-07-17 07:29:08.760097,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
46,DC:A6:32:55:FC:3E,2020-07-17 07:29:09.058669,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-64
47,98:04:ED:C0:E4:41,2020-07-17 07:29:09.058669,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
48,DC:A6:32:55:FC:3E,2020-07-17 07:29:10.299950,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-64
49,DC:A6:32:55:FC:3E,2020-07-17 07:29:11.068735,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
50,98:04:ED:C0:E4:41,2020-07-17 07:29:11.068735,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-105
51,98:04:ED:C0:E4:41,2020-07-17 07:29:12.038836,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
52,DC:A6:32:55:FC:3E,2020-07-17 07:29:12.038836,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
53,DC:A6:32:55:FC:3E,2020-07-17 07:29:13.250028,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-64
54,98:04:ED:C0:E4:41,2020-07-17 07:29:13.250028,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
55,DC:A6:32:55:FC:3E,2020-07-17 07:29:14.070004,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
56,98:04:ED:C0:E4:41,2020-07-17 07:29:14.070004,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
57,DC:A6:32:55:FC:3E,2020-07-17 07:29:15.083829,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
58,98:04:ED:C0:E4:41,2020-07-17 07:29:15.083829,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-105
59,98:04:ED:C0:E4:41,2020-07-17 07:29:17.089007,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-104
60,DC:A6:32:55:FC:3E,2020-07-17 07:29:17.089007,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
61,DC:A6:32:55:FC:3E,2020-07-17 07:29:18.498265,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
62,98:04:ED:C0:E4:41,2020-07-17 07:29:18.498265,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
63,DC:A6:32:55:FC:3E,2020-07-17 07:29:19.100341,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
64,98:04:ED:C0:E4:41,2020-07-17 07:29:19.100341,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
65,DC:A6:32:55:FC:3E,2020-07-17 07:29:20.254010,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
66,98:04:ED:C0:E4:41,2020-07-17 07:29:20.254010,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-105
67,98:04:ED:C0:E4:41,2020-07-17 07:29:21.180281,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
68,DC:A6:32:55:FC:3E,2020-07-17 07:29:21.180281,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
69,DC:A6:32:55:FC:3E,2020-07-17 07:29:22.295344,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
70,98:04:ED:C0:E4:41,2020-07-17 07:29:22.295344,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
71,98:04:ED:C0:E4:41,2020-07-17 07:29:23.021485,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
72,DC:A6:32:55:FC:3E,2020-07-17 07:29:23.021485,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
73,DC:A6:32:55:FC:3E,2020-07-17 07:29:24.024076,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
74,98:04:ED:C0:E4:41,2020-07-17 07:29:24.024076,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
75,DC:A6:32:55:FC:3E,2020-07-17 07:29:25.019191,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
76,98:04:ED:C0:E4:41,2020-07-17 07:29:25.019191,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
77,DC:A6:32:55:FC:3E,2020-07-17 07:29:26.091648,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
78,98:04:ED:C0:E4:41,2020-07-17 07:29:26.091648,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
79,DC:A6:32:55:FC:3E,2020-07-17 07:29:27.004115,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
80,98:04:ED:C0:E4:41,2020-07-17 07:29:27.004115,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
81,DC:A6:32:55:FC:3E,2020-07-17 07:29:28.090471,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
82,98:04:ED:C0:E4:41,2020-07-17 07:29:28.090471,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
83,DC:A6:32:55:FC:3E,2020-07-17 07:29:29.162429,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
84,98:04:ED:C0:E4:41,2020-07-17 07:29:29.162429,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
85,DC:A6:32:55:FC:3E,2020-07-17 07:29:30.453599,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
86,98:04:ED:C0:E4:41,2020-07-17 07:29:30.453599,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
87,DC:A6:32:55:FC:3E,2020-07-17 07:29:31.141733,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
88,98:04:ED:C0:E4:41,2020-07-17 07:29:31.141733,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
89,98:04:ED:C0:E4:41,2020-07-17 07:29:32.051748,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
90,DC:A6:32:55:FC:3E,2020-07-17 07:29:32.051748,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-71
91,DC:A6:32:55:FC:3E,2020-07-17 07:29:33.070457,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
92,98:04:ED:C0:E4:41,2020-07-17 07:29:33.070457,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-101
93,DC:A6:32:55:FC:3E,2020-07-17 07:29:34.059330,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
94,98:04:ED:C0:E4:41,2020-07-17 07:29:34.059330,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
95,DC:A6:32:55:FC:3E,2020-07-17 07:29:35.084329,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
96,98:04:ED:C0:E4:41,2020-07-17 07:29:35.084329,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
97,DC:A6:32:55:FC:3E,2020-07-17 07:29:36.073029,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
98,98:04:ED:C0:E4:41,2020-07-17 07:29:36.073029,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
99,DC:A6:32:55:FC:3E,2020-07-17 07:29:37.311860,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
100,98:04:ED:C0:E4:41,2020-07-17 07:29:37.311860,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
101,DC:A6:32:55:FC:3E,2020-07-17 07:29:38.204932,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
102,98:04:ED:C0:E4:41,2020-07-17 07:29:38.204932,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
103,DC:A6:32:55:FC:3E,2020-07-17 07:29:39.100631,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
