SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,98:04:ED:C0:E4:41,2020-07-17 05:50:56.148261,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
1,DC:A6:32:55:FC:3E,2020-07-17 05:50:56.148261,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-73
2,98:04:ED:C0:E4:41,2020-07-17 05:50:57.076629,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
3,DC:A6:32:55:FC:3E,2020-07-17 05:50:57.076629,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-71
4,98:04:ED:C0:E4:41,2020-07-17 05:50:58.024138,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
5,DC:A6:32:55:FC:3E,2020-07-17 05:50:58.024138,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-83
6,98:04:ED:C0:E4:41,2020-07-17 05:50:59.317201,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
7,DC:A6:32:55:FC:3E,2020-07-17 05:50:59.317201,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-70
8,98:04:ED:C0:E4:41,2020-07-17 05:51:00.018381,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
9,DC:A6:32:55:FC:3E,2020-07-17 05:51:00.018381,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-69
10,DC:A6:32:55:FC:3E,2020-07-17 05:51:01.251055,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-78
11,98:04:ED:C0:E4:41,2020-07-17 05:51:01.251055,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
12,98:04:ED:C0:E4:41,2020-07-17 05:51:02.327872,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-96
13,DC:A6:32:55:FC:3E,2020-07-17 05:51:02.327872,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-77
14,98:04:ED:C0:E4:41,2020-07-17 05:51:03.133463,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
15,DC:A6:32:55:FC:3E,2020-07-17 05:51:03.133463,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-68
16,98:04:ED:C0:E4:41,2020-07-17 05:51:04.114141,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
17,DC:A6:32:55:FC:3E,2020-07-17 05:51:04.114141,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-68
18,DC:A6:32:55:FC:3E,2020-07-17 05:51:05.077310,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-70
19,98:04:ED:C0:E4:41,2020-07-17 05:51:05.077310,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
20,98:04:ED:C0:E4:41,2020-07-17 05:51:06.024767,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-97
21,DC:A6:32:55:FC:3E,2020-07-17 05:51:06.024767,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-68
22,98:04:ED:C0:E4:41,2020-07-17 05:51:07.518036,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-88
23,DC:A6:32:55:FC:3E,2020-07-17 05:51:07.518036,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-68
24,DC:A6:32:55:FC:3E,2020-07-17 05:51:08.007299,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-69
25,98:04:ED:C0:E4:41,2020-07-17 05:51:08.007299,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
26,98:04:ED:C0:E4:41,2020-07-17 05:51:10.012472,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
27,DC:A6:32:55:FC:3E,2020-07-17 05:51:10.012472,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-69
28,98:04:ED:C0:E4:41,2020-07-17 05:51:12.017447,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
29,DC:A6:32:55:FC:3E,2020-07-17 05:51:12.017447,1ecc57e8-cb09-11ea-b211-dca63255fc3b,1,1,1,-70
30,98:04:ED:C0:E4:41,2020-07-17 05:51:13.298132,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
